RA (J2000),Dec (J2000)
20 01 51.214,+45 18 40.10
20 01 59.710,+45 19 04.01
18 53 07.334,+45 26 12.62
18 58 26.774,+45 27 29.81
18 59 23.626,+45 29 58.24
19 00 27.113,+45 25 29.82
19 01 59.055,+45 28 11.50
19 02 20.897,+45 28 01.06
19 02 42.873,+45 29 57.66
19 03 06.211,+45 28 50.45
19 05 33.276,+45 28 21.79
19 05 41.359,+45 24 28.12
19 07 24.688,+45 26 31.44
19 11 03.324,+45 28 55.78
19 19 13.634,+45 29 33.22
19 20 56.482,+45 26 22.02
19 31 16.389,+45 27 46.69
19 31 40.375,+45 29 13.85
19 32 14.599,+45 25 06.82
19 32 39.079,+45 27 29.38
19 43 12.317,+45 26 28.25
19 43 30.763,+45 29 56.51
19 44 16.221,+45 26 28.75
19 50 43.934,+45 27 28.30
19 51 33.305,+45 29 42.76
19 51 38.052,+45 25 07.14
19 53 14.002,+45 26 48.26
19 54 31.433,+45 25 12.18
19 54 58.994,+45 24 27.04
19 55 27.826,+45 25 37.44
20 00 29.314,+45 28 15.74
20 02 11.174,+45 28 27.44
20 02 43.462,+45 25 11.96
20 03 12.643,+45 26 23.24
18 55 14.767,+45 31 23.30
18 56 14.671,+45 30 24.66
18 59 09.468,+45 35 13.63
19 02 19.032,+45 30 49.90
19 05 19.418,+45 30 17.09
19 06 11.964,+45 30 11.77
19 20 01.567,+45 30 53.96
19 31 33.727,+45 33 59.40
19 33 18.881,+45 34 38.86
19 36 55.174,+45 35 23.53
19 41 00.869,+45 35 48.34
19 43 28.394,+45 33 17.86
19 43 37.358,+45 33 16.85
19 51 35.076,+45 35 54.74
19 52 49.538,+45 33 19.51
19 54 54.247,+45 33 39.17
19 57 45.408,+45 33 35.24
20 02 22.879,+45 32 02.62
18 59 28.039,+45 40 16.46
19 05 04.358,+45 38 34.01
19 10 15.389,+45 40 12.54
19 11 23.491,+45 37 20.71
19 14 42.158,+45 39 05.72
19 23 33.101,+45 39 54.83
19 33 40.639,+45 37 46.67
19 38 17.163,+45 39 50.15
19 38 30.557,+45 38 56.47
19 39 47.880,+45 41 50.28
19 40 20.762,+45 36 02.77
19 42 29.945,+45 36 43.16
19 44 26.570,+45 40 48.61
19 53 16.102,+45 37 41.77
19 56 59.086,+45 36 59.90
19 57 08.911,+45 38 49.24
19 57 11.782,+45 41 46.46
19 58 18.490,+45 40 59.69
19 58 35.126,+45 41 40.06
19 59 12.607,+45 39 55.19
20 00 01.054,+45 39 52.99
20 01 04.980,+45 38 13.67
18 53 11.818,+45 43 11.42
18 54 41.071,+45 42 16.74
18 55 41.542,+45 42 09.04
18 57 32.681,+45 43 10.96
18 58 47.448,+45 43 38.93
18 58 47.664,+45 45 49.75
18 59 10.915,+45 46 49.94
18 59 57.689,+45 44 23.17
19 09 59.148,+45 43 11.75
19 11 02.079,+45 45 06.84
19 13 45.048,+45 42 02.45
19 14 30.424,+45 45 11.40
19 15 07.567,+45 45 20.20
19 16 04.961,+45 45 18.04
19 21 59.947,+45 44 40.06
19 25 12.979,+45 47 59.93
19 30 33.989,+45 43 11.24
19 31 40.037,+45 47 46.21
19 34 14.563,+45 46 53.98
19 35 05.182,+45 43 30.50
19 36 13.486,+45 46 25.21
19 37 49.830,+45 46 47.92
19 42 38.813,+45 42 00.07
19 53 31.034,+45 44 21.62
19 55 20.686,+45 47 37.64
20 02 18.833,+45 47 33.22
18 54 19.723,+45 50 52.69
18 54 55.450,+45 53 04.09
18 55 31.447,+45 50 24.29
18 56 28.140,+45 48 12.67
19 01 24.192,+45 49 47.86
19 11 48.070,+45 52 32.12
19 16 18.598,+45 53 02.72
19 30 20.945,+45 50 47.54
19 32 44.854,+45 52 19.24
19 42 00.793,+45 52 27.00
19 48 49.291,+45 52 19.09
19 56 31.222,+45 52 35.83
19 56 56.865,+45 50 04.92
19 59 26.839,+45 49 38.46
18 55 40.990,+45 58 37.38
18 57 42.372,+45 57 30.71
19 03 03.355,+45 58 44.76
19 03 35.762,+45 56 39.66
19 11 08.930,+45 54 37.33
19 13 00.041,+45 59 28.72
19 14 08.395,+45 58 40.58
19 22 49.553,+45 56 44.52
19 23 20.580,+45 59 21.30
19 30 06.178,+45 59 35.95
19 37 44.047,+45 54 40.90
19 42 22.010,+45 57 16.02
19 43 10.277,+45 59 15.97
19 48 48.511,+45 58 15.92
19 48 51.936,+45 58 37.42
19 49 59.371,+45 56 28.32
19 58 01.903,+45 57 28.30
19 59 05.441,+45 55 12.83
18 48 38.847,+46 05 35.56
18 57 18.526,+46 05 33.83
19 02 20.659,+46 02 18.35
19 09 01.606,+46 04 00.37
19 11 01.865,+46 00 34.60
19 11 42.295,+46 05 54.17
19 13 57.975,+46 03 46.73
19 14 08.760,+46 03 48.42
19 15 22.238,+46 02 52.22
19 18 39.408,+46 05 37.86
19 32 26.964,+46 04 37.06
19 38 29.361,+46 03 20.34
19 39 54.917,+46 00 20.34
19 43 35.407,+46 01 12.14
19 43 45.185,+46 00 47.92
19 50 12.557,+46 04 53.00
19 50 20.561,+46 04 13.92
19 50 49.402,+46 05 15.32
19 56 34.238,+46 01 49.73
19 57 22.152,+46 01 58.08
19 58 57.720,+46 05 11.58
19 59 45.196,+46 01 03.49
19 59 57.408,+46 05 05.21
20 00 33.252,+46 03 42.08
20 02 05.904,+46 04 44.11
20 02 14.189,+46 05 16.94
18 50 55.637,+46 07 46.52
18 56 36.182,+46 09 13.07
18 59 08.929,+46 09 44.72
19 01 23.443,+46 11 23.21
19 02 40.445,+46 06 51.34
19 03 53.434,+46 09 05.58
19 04 19.855,+46 11 10.75
19 13 31.718,+46 10 42.02
19 16 03.631,+46 06 46.94
19 35 13.887,+46 07 40.66
19 37 05.808,+46 11 08.02
19 38 24.418,+46 10 37.34
19 43 14.930,+46 09 43.49
19 48 08.863,+46 10 09.98
19 49 08.799,+46 08 23.42
19 50 06.825,+46 07 47.60
19 51 40.471,+46 09 21.89
19 57 37.841,+46 06 54.54
19 57 51.343,+46 10 05.48
19 58 32.026,+46 10 20.39
20 00 02.573,+46 06 30.82
20 00 17.863,+46 08 43.33
20 00 27.204,+46 09 57.17
20 02 07.259,+46 11 49.92
18 48 14.666,+46 13 46.74
18 50 36.809,+46 13 18.37
18 59 09.840,+46 17 05.82
19 01 19.061,+46 14 20.83
19 02 30.689,+46 15 21.14
19 04 00.161,+46 14 33.36
19 09 19.872,+46 12 12.64
19 09 41.681,+46 16 55.67
19 12 11.827,+46 13 56.68
19 16 42.103,+46 13 30.43
19 28 32.225,+46 12 08.71
19 30 56.182,+46 15 44.93
19 33 32.026,+46 12 37.01
19 35 57.094,+46 15 25.99
19 37 38.126,+46 13 07.32
19 37 46.906,+46 17 43.01
19 38 26.887,+46 13 50.92
19 42 23.566,+46 13 51.64
19 48 35.717,+46 17 49.02
19 50 57.718,+46 14 58.16
19 53 47.280,+46 16 55.06
19 59 25.130,+46 15 18.43
19 59 29.558,+46 13 04.04
19 00 32.302,+46 22 58.33
19 15 38.661,+46 18 37.37
19 17 04.167,+46 18 51.91
19 28 50.157,+46 23 52.69
19 30 18.960,+46 18 12.56
19 30 33.998,+46 19 49.22
19 38 17.962,+46 21 00.25
19 38 26.570,+46 20 31.63
19 47 20.597,+46 23 43.87
19 47 50.129,+46 23 38.87
19 48 57.391,+46 19 27.44
19 49 59.664,+46 23 39.19
19 50 17.040,+46 22 28.52
19 51 26.304,+46 21 33.23
19 51 30.264,+46 21 30.60
19 51 39.334,+46 23 16.69
19 53 43.183,+46 19 38.81
19 54 34.027,+46 22 01.24
20 00 33.876,+46 20 45.89
20 00 40.903,+46 18 21.85
20 01 37.726,+46 21 00.32
18 45 38.352,+46 28 33.35
18 46 49.385,+46 26 26.74
18 51 21.187,+46 26 22.81
18 58 30.389,+46 27 59.54
18 59 34.724,+46 25 21.43
19 00 03.989,+46 25 11.53
19 01 02.302,+46 27 13.28
19 02 20.153,+46 25 38.14
19 09 36.562,+46 27 34.67
19 11 38.786,+46 26 12.73
19 13 22.843,+46 24 13.36
19 16 31.354,+46 24 39.46
19 17 11.105,+46 27 28.62
19 19 57.471,+46 27 20.30
19 21 40.008,+46 25 54.44
19 22 02.659,+46 26 48.23
19 29 52.814,+46 28 35.26
19 30 14.796,+46 29 08.48
19 32 33.115,+46 29 20.33
19 33 18.041,+46 25 42.85
19 36 10.682,+46 27 38.05
19 46 45.557,+46 28 44.36
19 47 13.411,+46 26 56.94
19 47 19.939,+46 28 22.04
19 47 22.848,+46 25 19.96
19 50 26.926,+46 24 16.60
19 52 26.206,+46 27 10.48
19 53 19.529,+46 26 46.75
19 55 25.932,+46 28 37.70
18 45 19.541,+46 33 57.38
18 46 33.622,+46 34 37.60
18 50 15.814,+46 30 12.24
18 59 50.319,+46 35 14.82
19 07 49.594,+46 33 45.65
19 08 22.596,+46 34 12.97
19 14 14.767,+46 32 09.78
19 16 23.069,+46 31 24.85
19 19 02.302,+46 32 54.53
19 19 03.357,+46 30 34.13
19 29 29.178,+46 32 46.98
19 40 37.776,+46 30 19.51
19 46 12.382,+46 31 28.67
19 47 28.281,+46 31 03.14
19 55 27.977,+46 30 08.06
19 55 46.675,+46 35 13.16
19 56 16.418,+46 30 28.58
19 56 22.085,+46 32 46.90
19 56 22.629,+46 35 04.67
19 57 05.829,+46 34 14.63
18 46 09.660,+46 38 26.99
19 09 46.020,+46 41 07.22
19 12 46.080,+46 38 46.69
19 13 14.523,+46 37 05.20
19 18 09.252,+46 37 18.37
19 31 48.850,+46 36 54.54
19 31 57.314,+46 40 39.14
19 40 30.103,+46 41 00.64
19 41 12.860,+46 40 11.70
19 41 13.779,+46 36 49.82
19 46 16.651,+46 39 51.59
19 46 19.629,+46 41 11.00
19 47 46.018,+46 36 32.54
19 48 28.519,+46 40 43.18
19 55 25.467,+46 37 45.19
18 50 28.330,+46 47 15.07
18 50 39.557,+46 45 28.66
18 51 06.408,+46 47 50.17
18 51 55.666,+46 45 05.11
19 15 42.326,+46 44 42.83
19 20 12.267,+46 42 48.13
19 32 58.409,+46 47 16.26
19 35 34.202,+46 42 18.04
19 36 32.162,+46 44 43.44
19 37 18.667,+46 43 11.24
19 39 01.663,+46 47 54.56
19 39 28.054,+46 47 26.02
19 40 32.343,+46 46 10.74
19 46 44.028,+46 45 56.70
19 47 18.286,+46 47 22.74
19 48 43.740,+46 43 51.92
19 50 09.106,+46 42 22.79
19 59 45.360,+46 47 55.75
18 44 44.052,+46 49 20.24
18 47 57.839,+46 52 10.59
18 48 31.231,+46 53 52.55
18 50 08.969,+46 53 49.42
18 54 59.325,+46 48 52.42
18 56 19.212,+46 49 50.70
19 05 36.957,+46 52 48.47
19 05 57.261,+46 50 39.19
19 08 17.534,+46 53 43.40
19 17 04.658,+46 49 13.19
19 34 43.006,+46 51 09.94
19 36 06.197,+46 51 18.43
19 37 37.474,+46 51 32.18
19 38 39.456,+46 49 42.53
19 39 50.503,+46 48 56.56
19 40 46.826,+46 51 16.06
19 48 23.760,+46 50 07.40
19 48 25.949,+46 53 53.05
19 48 35.633,+46 49 33.92
19 50 40.553,+46 51 21.17
19 52 17.345,+46 53 33.79
19 53 29.143,+46 51 51.16
19 53 53.597,+46 53 13.56
19 54 22.831,+46 51 04.68
19 55 32.974,+46 52 44.54
19 56 47.134,+46 48 51.62
19 59 07.136,+46 53 25.68
19 59 14.071,+46 52 05.34
18 44 18.406,+46 56 22.16
18 44 43.257,+46 55 47.64
18 45 49.944,+46 58 20.39
18 52 44.134,+46 55 29.86
18 52 45.890,+46 56 02.69
18 52 50.445,+46 59 48.05
18 55 08.683,+46 56 41.93
18 56 41.345,+46 57 00.36
19 10 07.591,+46 56 26.74
19 32 15.446,+46 56 37.03
19 36 46.291,+46 55 28.81
19 38 06.185,+46 59 39.48
19 39 40.452,+46 54 14.04
19 40 25.270,+46 57 05.54
19 45 26.172,+46 54 55.40
19 46 57.338,+46 58 04.33
19 49 39.528,+46 58 20.96
19 50 19.243,+46 57 34.49
19 51 46.702,+46 55 22.19
19 55 44.201,+46 57 54.43
19 57 08.734,+46 59 37.82
19 58 12.859,+46 58 24.74
19 58 24.732,+46 59 26.56
18 45 37.973,+47 04 04.08
18 47 50.414,+47 01 55.99
18 50 51.689,+47 02 27.02
18 52 07.925,+47 04 18.41
18 56 38.981,+47 05 57.95
19 04 09.123,+47 04 27.95
19 04 12.903,+47 03 05.00
19 04 53.657,+47 04 51.85
19 06 47.326,+47 04 12.04
19 08 08.066,+47 03 07.52
19 09 42.070,+47 02 22.96
19 11 12.691,+47 03 30.60
19 16 08.767,+47 01 11.50
19 17 21.242,+47 02 53.20
19 27 17.107,+47 03 59.33
19 36 04.647,+47 00 22.79
19 37 10.754,+47 03 10.33
19 39 45.014,+47 04 25.72
19 49 28.570,+47 05 33.04
19 52 44.868,+47 02 33.72
19 52 49.145,+47 03 12.17
19 54 48.701,+47 03 09.14
19 55 41.304,+47 05 40.67
19 57 27.590,+47 03 19.94
18 43 40.138,+47 06 25.45
18 47 23.345,+47 11 41.10
18 55 31.224,+47 06 31.79
18 55 46.383,+47 07 37.56
19 09 53.342,+47 06 57.20
19 14 33.941,+47 08 47.98
19 19 17.162,+47 07 04.15
19 24 10.541,+47 07 26.80
19 27 32.259,+47 06 21.86
19 34 56.753,+47 06 56.66
19 37 29.160,+47 07 23.02
19 38 05.040,+47 07 33.60
19 46 12.679,+47 08 35.12
19 48 47.681,+47 10 43.28
19 50 17.575,+47 07 24.24
19 52 52.137,+47 10 28.16
19 55 16.198,+47 06 31.61
19 58 48.634,+47 08 15.83
19 59 11.131,+47 09 37.66
18 42 30.535,+47 16 40.01
18 44 06.982,+47 15 43.81
18 45 25.452,+47 17 23.96
18 47 48.588,+47 16 53.23
18 52 52.759,+47 13 27.23
18 55 59.919,+47 17 34.98
18 56 16.778,+47 15 35.03
19 05 05.177,+47 14 12.19
19 06 27.662,+47 13 02.21
19 07 11.734,+47 15 10.58
19 08 34.380,+47 13 28.20
19 12 41.342,+47 12 55.30
19 14 34.570,+47 17 32.64
19 24 42.948,+47 12 38.34
19 26 15.852,+47 12 25.89
19 26 32.165,+47 16 08.94
19 28 25.209,+47 17 43.66
19 43 52.402,+47 14 01.61
19 47 29.414,+47 13 38.57
19 49 57.435,+47 15 27.94
19 50 01.469,+47 12 04.14
19 51 00.914,+47 17 11.87
19 52 19.258,+47 16 27.41
19 56 41.333,+47 17 11.65
18 42 17.302,+47 22 45.80
18 45 38.297,+47 18 27.32
18 54 36.842,+47 22 01.38
18 54 37.560,+47 22 41.95
18 57 15.286,+47 20 36.85
18 59 53.057,+47 18 01.80
19 06 04.783,+47 19 05.59
19 17 52.606,+47 18 48.06
19 18 30.466,+47 20 35.30
19 26 52.718,+47 22 42.78
19 29 39.180,+47 23 30.23
19 30 22.132,+47 23 32.19
19 37 13.037,+47 20 30.80
19 44 44.023,+47 21 31.54
19 45 35.247,+47 20 20.83
19 46 38.277,+47 21 25.38
19 46 53.484,+47 19 07.79
19 48 18.336,+47 22 32.47
19 53 16.166,+47 21 00.61
19 56 40.938,+47 22 28.86
18 44 14.777,+47 28 00.84
18 45 31.195,+47 25 31.76
18 46 08.196,+47 29 58.09
18 46 12.281,+47 28 11.86
18 51 32.160,+47 29 12.80
18 52 15.588,+47 25 02.68
18 53 33.980,+47 26 11.28
18 54 02.400,+47 28 27.41
18 54 07.870,+47 29 34.48
19 10 45.799,+47 27 33.80
19 11 47.354,+47 26 22.49
19 15 05.630,+47 24 56.56
19 16 12.141,+47 27 02.48
19 23 16.162,+47 26 55.82
19 24 21.144,+47 25 11.06
19 29 32.822,+47 27 28.91
19 43 40.958,+47 26 55.00
19 46 47.666,+47 29 59.14
19 46 58.058,+47 25 29.39
19 49 39.962,+47 24 07.52
19 51 49.063,+47 25 04.01
19 55 23.758,+47 24 57.02
19 57 54.403,+47 26 46.27
18 45 18.590,+47 35 05.53
18 48 05.666,+47 35 36.74
18 50 00.218,+47 35 07.08
18 53 42.170,+47 34 55.45
19 07 12.523,+47 30 58.79
19 07 14.659,+47 30 55.44
19 15 37.106,+47 30 18.86
19 28 25.597,+47 31 52.30
19 28 29.811,+47 30 10.76
19 31 10.207,+47 34 36.19
19 45 53.456,+47 32 56.61
19 46 55.394,+47 34 45.41
19 50 19.937,+47 31 54.44
19 57 07.682,+47 34 01.85
19 57 40.766,+47 33 46.19
18 50 11.901,+47 37 08.22
18 53 29.760,+47 36 54.47
19 08 27.561,+47 40 31.69
19 10 13.790,+47 40 02.78
19 10 28.560,+47 37 02.24
19 14 32.443,+47 36 54.83
19 16 32.174,+47 36 12.20
19 24 11.052,+47 40 24.42
19 31 44.973,+47 37 34.75
19 44 45.826,+47 36 38.74
19 48 38.760,+47 37 30.65
19 53 58.510,+47 38 55.57
19 57 11.210,+47 36 58.36
18 45 44.042,+47 43 10.56
18 47 30.178,+47 46 57.86
18 49 26.784,+47 42 48.56
18 49 28.718,+47 46 24.31
18 50 24.573,+47 46 55.42
18 50 32.362,+47 43 47.24
18 55 11.654,+47 44 38.83
18 57 33.346,+47 45 57.28
18 57 44.859,+47 45 01.19
19 02 44.638,+47 43 57.97
19 03 15.948,+47 42 51.05
19 03 46.375,+47 47 50.39
19 03 55.339,+47 47 17.88
19 15 16.980,+47 45 46.04
19 15 44.205,+47 47 45.60
19 28 15.401,+47 45 55.66
19 31 06.833,+47 44 09.28
19 31 55.872,+47 47 09.18
19 41 58.368,+47 47 32.03
19 42 12.531,+47 44 42.04
19 42 46.659,+47 47 55.18
19 45 54.262,+47 42 10.87
19 47 54.938,+47 44 11.15
19 48 34.771,+47 46 16.75
19 48 49.363,+47 43 56.17
19 48 52.913,+47 44 53.70
19 50 59.815,+47 45 36.94
19 52 46.829,+47 43 23.83
19 55 56.119,+47 42 03.31
19 56 46.296,+47 47 33.25
19 57 21.813,+47 43 13.51
18 41 57.954,+47 48 25.59
18 44 09.883,+47 51 06.88
18 47 34.536,+47 49 20.42
18 48 08.780,+47 48 53.38
18 50 44.913,+47 49 01.13
19 03 37.047,+47 50 11.76
19 10 48.713,+47 50 08.81
19 15 11.227,+47 48 01.76
19 16 52.198,+47 53 04.06
19 16 55.073,+47 53 22.49
19 22 42.907,+47 50 42.94
19 24 01.242,+47 51 51.68
19 27 43.834,+47 49 18.16
18 47 34.231,+47 54 09.25
18 50 12.782,+47 57 11.59
19 01 41.805,+47 58 59.16
19 10 55.553,+47 57 39.74
19 12 59.767,+47 55 27.62
19 15 06.252,+47 58 37.34
19 17 07.181,+47 58 44.94
19 22 00.972,+47 57 29.41
19 30 51.477,+47 57 20.30
19 34 00.134,+47 58 28.13
19 34 43.433,+47 57 58.97
19 35 58.430,+47 57 32.80
19 44 02.246,+47 58 57.40
19 44 13.803,+47 55 43.67
19 44 43.757,+47 54 49.14
19 44 44.866,+47 55 13.12
19 44 52.111,+47 55 37.09
19 56 16.325,+47 55 12.11
18 45 40.886,+48 01 57.86
18 48 09.185,+48 04 57.50
19 00 32.467,+48 00 35.14
19 01 19.845,+48 03 19.15
19 02 29.196,+48 01 00.23
19 04 15.358,+48 03 01.91
19 05 39.286,+48 00 39.60
19 12 20.337,+48 00 49.61
19 12 49.209,+48 05 05.03
19 17 02.073,+48 01 03.97
19 28 23.189,+48 04 50.99
19 29 58.946,+48 02 43.12
19 30 34.020,+48 01 13.37
19 31 05.700,+48 02 46.79
19 31 33.888,+48 05 24.25
19 34 20.285,+48 02 09.20
19 35 08.069,+48 03 14.26
19 43 07.301,+48 02 09.49
19 48 36.485,+48 00 21.02
19 50 14.158,+48 00 49.90
19 52 46.161,+48 05 20.80
19 52 56.256,+48 05 49.27
19 53 52.111,+48 03 29.84
19 55 02.362,+48 05 49.74
18 46 44.325,+48 08 18.78
18 51 01.627,+48 06 47.41
19 01 13.407,+48 10 35.94
19 04 53.520,+48 08 26.34
19 14 06.840,+48 11 05.53
19 14 16.291,+48 08 36.10
19 23 01.406,+48 08 53.45
19 26 24.367,+48 06 16.34
19 28 36.401,+48 11 07.87
19 32 43.920,+48 10 19.16
19 33 15.228,+48 07 19.67
19 36 05.311,+48 09 09.32
19 36 18.507,+48 08 00.06
19 36 24.048,+48 08 10.18
19 36 40.497,+48 10 09.19
19 46 57.698,+48 07 33.46
19 51 08.868,+48 06 51.26
18 45 04.418,+48 14 15.00
18 46 28.752,+48 12 49.79
18 47 29.424,+48 15 23.44
18 48 17.969,+48 15 37.37
18 50 46.757,+48 15 02.27
18 51 21.374,+48 13 09.37
19 01 19.380,+48 12 41.87
19 07 21.809,+48 17 21.12
19 13 31.407,+48 14 27.71
19 13 47.604,+48 12 06.05
19 14 55.538,+48 13 58.98
19 19 55.125,+48 16 37.56
19 22 53.717,+48 17 01.46
19 47 09.074,+48 17 45.64
19 49 13.119,+48 17 46.97
19 51 50.774,+48 14 39.70
19 54 00.444,+48 17 59.86
19 55 04.970,+48 15 56.56
18 50 04.906,+48 19 44.18
18 51 00.967,+48 19 10.52
18 54 53.208,+48 21 15.80
18 55 00.322,+48 20 17.09
19 05 33.773,+48 19 50.66
19 07 57.067,+48 19 44.47
19 08 10.927,+48 22 14.92
19 14 42.780,+48 23 48.80
19 20 00.125,+48 23 47.80
19 21 11.119,+48 18 15.98
19 27 48.312,+48 19 29.73
19 30 44.921,+48 20 48.19
19 30 51.043,+48 19 07.57
19 32 04.853,+48 20 07.30
19 33 24.461,+48 22 14.77
19 36 19.767,+48 22 37.20
19 49 06.715,+48 19 13.19
19 50 05.059,+48 21 43.33
19 50 35.717,+48 20 45.85
18 46 28.717,+48 28 40.02
18 48 40.099,+48 26 58.85
18 52 24.266,+48 27 54.22
18 52 42.336,+48 29 15.86
19 02 56.736,+48 28 03.00
19 05 08.412,+48 26 41.42
19 05 40.497,+48 24 18.76
19 05 51.878,+48 29 45.31
19 09 23.255,+48 27 39.10
19 21 42.801,+48 24 58.61
19 24 11.007,+48 25 58.76
19 26 17.841,+48 25 24.67
19 27 17.366,+48 27 32.58
19 28 31.022,+48 28 29.06
19 29 49.723,+48 24 58.18
19 30 43.363,+48 27 00.18
19 32 09.770,+48 26 44.52
19 32 42.816,+48 25 20.53
19 33 40.690,+48 24 50.90
19 33 54.975,+48 24 07.74
19 34 37.253,+48 24 31.18
19 35 53.157,+48 24 32.18
19 48 36.792,+48 26 36.92
19 50 02.109,+48 27 54.79
19 50 11.414,+48 24 49.10
18 59 54.269,+48 31 24.49
19 03 03.761,+48 33 14.15
19 04 35.522,+48 35 39.34
19 09 47.153,+48 32 45.89
19 20 38.566,+48 35 12.55
19 22 29.748,+48 35 42.04
19 26 30.540,+48 33 40.07
19 27 03.859,+48 30 19.48
19 27 18.446,+48 35 16.04
19 35 31.769,+48 31 09.08
19 52 53.170,+48 35 49.52
19 54 17.813,+48 30 47.16
18 49 51.106,+48 38 37.54
18 57 07.546,+48 40 15.28
19 04 52.044,+48 39 45.76
19 05 18.965,+48 37 26.18
19 07 38.225,+48 36 02.88
19 20 24.626,+48 38 37.46
19 25 36.574,+48 36 44.89
19 25 36.835,+48 36 01.22
19 31 24.838,+48 40 48.43
19 31 50.013,+48 38 03.30
19 41 27.101,+48 39 39.38
19 42 40.224,+48 37 51.10
19 53 38.206,+48 36 40.97
18 51 31.577,+48 43 54.48
18 57 48.528,+48 46 12.32
19 08 28.889,+48 46 35.33
19 08 43.829,+48 43 07.86
19 20 32.520,+48 44 16.62
19 21 36.084,+48 42 39.92
19 21 51.363,+48 45 42.96
19 23 37.251,+48 44 16.22
19 26 29.066,+48 42 43.67
19 29 17.280,+48 46 34.00
19 33 23.630,+48 46 08.47
19 34 29.909,+48 44 29.94
19 39 33.821,+48 44 49.16
19 43 08.532,+48 47 50.32
19 44 44.832,+48 42 33.01
19 52 14.952,+48 43 29.71
19 53 06.413,+48 46 37.63
18 49 05.081,+48 49 43.29
18 56 00.273,+48 50 29.54
18 57 37.109,+48 50 23.64
18 58 12.816,+48 49 11.78
19 02 09.799,+48 52 28.74
19 05 08.038,+48 52 14.74
19 09 16.248,+48 50 03.70
19 10 24.254,+48 50 41.53
19 10 51.156,+48 48 12.96
19 21 20.337,+48 52 18.91
19 33 13.529,+48 48 48.53
19 41 25.005,+48 48 09.25
19 41 48.228,+48 49 42.17
19 51 55.574,+48 48 33.12
18 52 00.907,+48 56 50.32
18 58 16.788,+48 57 16.27
19 04 56.801,+48 58 11.46
19 05 52.272,+48 54 45.32
19 07 08.765,+48 58 41.05
19 10 29.345,+48 59 10.50
19 11 24.065,+48 55 24.67
19 11 44.390,+48 58 52.90
19 11 50.815,+48 55 31.55
19 20 30.449,+48 56 54.85
19 26 40.795,+48 59 53.45
19 28 16.620,+48 57 41.08
19 30 36.907,+48 57 06.73
19 33 38.587,+48 57 21.10
19 33 54.327,+48 56 30.95
19 38 40.646,+48 58 48.61
19 43 24.326,+48 54 39.71
19 44 31.877,+48 58 38.64
19 48 01.282,+48 59 43.51
18 55 29.726,+49 02 40.06
18 56 42.295,+49 01 13.33
18 58 41.383,+49 04 51.38
19 01 14.858,+49 00 12.20
19 03 50.177,+49 04 52.61
19 05 35.503,+49 03 41.58
19 08 22.435,+49 04 33.92
19 08 32.496,+49 05 05.96
19 11 56.760,+49 02 55.46
19 22 32.674,+49 02 15.22
19 25 00.000,+49 02 37.75
19 28 53.901,+49 02 36.53
19 32 33.598,+49 05 41.17
19 39 01.627,+49 04 37.78
19 42 58.071,+49 02 17.16
19 48 17.705,+49 04 39.32
18 54 22.961,+49 11 07.12
19 01 25.212,+49 07 05.12
19 06 08.002,+49 08 20.58
19 07 39.761,+49 09 22.36
19 11 13.401,+49 11 45.06
19 22 32.249,+49 07 40.30
19 23 58.505,+49 09 15.34
19 38 34.443,+49 08 26.99
19 43 04.692,+49 09 58.50
19 44 27.103,+49 10 39.32
19 45 49.375,+49 10 21.94
19 47 39.115,+49 10 06.38
18 56 20.458,+49 17 12.34
18 57 08.359,+49 12 42.19
18 59 35.808,+49 13 16.46
19 00 13.985,+49 13 15.74
19 03 28.447,+49 17 07.12
19 04 55.267,+49 14 28.14
19 09 44.652,+49 16 49.84
19 12 32.069,+49 14 49.70
19 27 18.679,+49 16 47.32
19 30 04.414,+49 16 31.22
19 32 54.156,+49 14 33.18
19 40 40.380,+49 17 28.32
19 43 26.705,+49 15 12.46
19 48 22.421,+49 14 11.72
18 53 57.530,+49 22 43.72
19 00 46.342,+49 19 39.22
19 00 47.983,+49 23 03.88
19 03 02.297,+49 23 20.22
19 03 19.159,+49 23 39.52
19 03 32.026,+49 21 54.47
19 05 49.562,+49 22 20.68
19 06 09.074,+49 19 18.26
19 06 35.220,+49 23 16.26
19 07 53.995,+49 19 37.02
19 07 54.206,+49 19 41.84
19 08 36.893,+49 19 55.09
19 10 10.726,+49 20 05.42
19 15 36.535,+49 22 13.76
19 15 54.180,+49 22 36.01
19 25 52.675,+49 19 36.12
19 26 26.246,+49 22 56.28
19 28 12.367,+49 20 00.49
19 40 36.415,+49 21 52.06
19 45 05.554,+49 23 07.66
19 50 11.767,+49 21 26.24
19 52 02.887,+49 21 43.34
18 56 36.358,+49 24 54.50
18 58 52.706,+49 29 53.38
19 00 44.258,+49 25 26.08
19 02 17.415,+49 28 41.84
19 02 22.956,+49 27 50.58
19 04 52.644,+49 27 27.76
19 08 51.576,+49 28 31.04
19 15 59.433,+49 25 59.95
19 17 24.547,+49 24 07.96
19 18 21.420,+49 27 27.07
19 26 43.149,+49 26 36.64
19 27 30.708,+49 28 04.01
19 28 35.230,+49 29 15.32
19 29 21.883,+49 28 21.11
19 31 47.453,+49 26 28.97
19 32 12.130,+49 28 38.71
19 42 57.408,+49 29 30.08
19 43 42.207,+49 26 40.42
19 49 05.830,+49 27 32.72
19 50 49.222,+49 24 05.72
19 52 18.674,+49 25 08.47
