RA (J2000),Dec (J2000)
18 57 35.690,+40 07 17.33
18 57 49.140,+40 09 48.06
18 58 06.533,+40 08 23.68
19 06 42.955,+40 08 23.17
19 06 49.090,+40 07 02.68
19 07 02.112,+40 08 01.39
19 07 25.327,+40 08 41.21
19 07 36.799,+40 06 50.36
19 08 43.747,+40 09 27.29
19 08 59.597,+40 06 57.71
19 13 59.981,+40 10 46.06
19 16 16.550,+40 07 14.56
19 18 35.122,+40 09 59.98
19 20 16.447,+40 08 40.52
19 21 36.226,+40 09 55.33
19 22 43.514,+40 07 35.26
19 23 16.407,+40 07 17.44
19 23 43.574,+40 11 40.92
19 25 26.434,+40 06 51.94
19 31 46.438,+40 07 04.58
19 34 29.287,+40 10 31.84
19 35 21.096,+40 11 14.68
19 40 37.068,+40 06 31.88
19 40 55.985,+40 09 06.08
19 42 13.073,+40 10 09.88
19 42 57.254,+40 11 02.46
19 43 21.955,+40 11 31.92
19 47 59.637,+40 09 04.61
19 50 32.335,+40 06 03.64
19 50 52.339,+40 09 21.13
19 55 24.597,+40 10 43.46
18 56 56.179,+40 16 33.60
18 57 42.494,+40 14 57.52
18 59 09.262,+40 17 00.60
19 05 24.166,+40 17 00.53
19 13 04.325,+40 17 56.04
19 13 32.585,+40 17 49.96
19 17 26.299,+40 16 39.90
19 20 04.821,+40 16 32.20
19 38 36.067,+40 13 36.88
19 43 28.421,+40 14 06.79
19 50 18.902,+40 15 51.55
19 50 34.001,+40 12 42.91
19 51 38.477,+40 13 05.23
19 51 48.046,+40 13 20.21
19 55 09.024,+40 17 06.79
19 55 14.462,+40 14 18.31
19 56 34.404,+40 17 57.34
18 53 33.571,+40 23 41.32
19 01 27.336,+40 18 45.79
19 06 03.086,+40 21 34.60
19 07 31.928,+40 21 08.18
19 11 27.449,+40 21 51.16
19 13 41.085,+40 18 53.35
19 18 18.454,+40 21 11.38
19 18 42.168,+40 22 23.63
19 18 42.650,+40 19 14.77
19 19 29.859,+40 20 18.74
19 20 40.740,+40 19 54.19
19 33 38.013,+40 21 34.34
19 34 24.048,+40 18 37.76
19 47 24.413,+40 18 51.05
19 48 19.747,+40 21 32.40
19 49 40.714,+40 18 52.81
19 50 36.341,+40 21 09.18
19 50 41.078,+40 18 18.18
19 51 35.719,+40 21 00.97
19 52 55.790,+40 22 15.64
19 54 17.050,+40 22 00.35
19 56 10.075,+40 22 16.46
19 56 34.346,+40 20 25.30
19 56 40.543,+40 19 41.16
19 56 47.861,+40 23 34.73
19 57 25.465,+40 22 32.97
19 57 25.687,+40 22 06.17
18 55 55.200,+40 25 24.10
18 57 58.421,+40 25 54.16
19 00 56.033,+40 26 39.91
19 01 16.747,+40 26 53.48
19 14 22.848,+40 25 25.90
19 16 00.362,+40 27 29.38
19 19 05.460,+40 27 17.28
19 20 14.258,+40 28 05.74
19 20 58.855,+40 25 38.93
19 22 08.208,+40 29 45.20
19 23 06.262,+40 28 04.26
19 24 50.458,+40 29 18.31
19 24 51.218,+40 26 48.70
19 34 53.374,+40 26 47.72
19 38 50.959,+40 28 08.83
19 47 00.226,+40 25 28.49
19 48 01.190,+40 28 57.94
19 48 41.753,+40 25 43.25
19 52 25.402,+40 26 29.15
19 52 55.207,+40 25 53.58
19 53 00.761,+40 29 59.86
19 53 30.051,+40 27 31.97
19 54 34.834,+40 25 48.11
19 54 41.547,+40 27 07.88
19 55 27.977,+40 27 10.51
19 57 07.402,+40 29 25.26
19 57 50.549,+40 29 36.46
19 57 56.549,+40 27 09.22
19 58 55.063,+40 29 34.04
18 51 59.933,+40 33 26.82
19 00 45.276,+40 30 33.52
19 07 17.403,+40 30 47.59
19 11 09.665,+40 30 57.56
19 17 45.912,+40 34 05.02
19 19 52.020,+40 31 57.58
19 24 34.555,+40 33 42.66
19 29 17.002,+40 33 21.49
19 35 18.211,+40 30 24.34
19 35 44.033,+40 35 26.66
19 35 58.995,+40 31 28.09
19 36 14.630,+40 34 29.93
19 37 54.401,+40 35 21.59
19 39 24.319,+40 32 42.14
19 39 35.047,+40 32 32.39
19 41 12.022,+40 33 23.72
19 45 54.031,+40 35 32.50
19 50 23.868,+40 33 32.44
19 52 40.368,+40 35 50.28
19 54 41.897,+40 30 44.75
20 00 06.823,+40 33 36.36
18 54 10.858,+40 39 46.48
18 57 38.307,+40 38 33.22
18 57 44.573,+40 39 23.33
19 00 54.828,+40 39 19.08
19 01 15.384,+40 37 50.52
19 15 08.657,+40 41 50.86
19 15 29.974,+40 40 20.68
19 15 46.684,+40 41 45.89
19 18 28.229,+40 38 49.74
19 23 20.213,+40 36 19.26
19 28 38.426,+40 36 47.56
19 28 54.358,+40 36 54.50
19 29 08.981,+40 37 44.11
19 39 26.283,+40 39 52.13
19 41 39.156,+40 41 48.95
19 47 01.433,+40 37 46.27
19 47 15.101,+40 36 41.04
19 47 31.534,+40 39 01.91
19 54 55.099,+40 36 20.63
19 55 28.730,+40 41 34.84
19 56 12.555,+40 39 38.56
19 56 35.856,+40 37 08.00
19 57 19.776,+40 40 36.44
19 57 47.263,+40 36 41.98
19 58 18.029,+40 41 08.19
19 59 14.292,+40 41 08.95
19 59 42.547,+40 37 14.56
18 53 55.838,+40 47 44.95
18 54 34.334,+40 45 20.66
18 56 51.914,+40 46 26.83
18 57 17.508,+40 42 54.76
18 57 29.239,+40 42 46.69
19 00 50.907,+40 47 32.28
19 13 23.568,+40 47 36.17
19 13 52.310,+40 45 28.08
19 14 25.299,+40 47 39.34
19 28 07.459,+40 44 57.08
19 30 34.207,+40 43 57.94
19 30 47.887,+40 46 18.84
19 37 11.388,+40 45 07.20
19 39 03.079,+40 44 35.99
19 41 03.209,+40 46 44.90
19 41 43.116,+40 46 02.32
19 42 04.594,+40 43 54.95
19 46 26.983,+40 44 19.54
19 50 46.725,+40 46 47.28
19 54 20.834,+40 45 43.49
19 54 49.577,+40 45 43.52
19 56 14.643,+40 44 04.74
19 56 59.042,+40 47 11.47
19 57 31.442,+40 47 37.61
19 58 58.188,+40 44 41.14
18 53 14.100,+40 52 35.18
18 55 21.266,+40 50 35.77
19 00 38.129,+40 53 21.98
19 01 31.579,+40 53 29.29
19 10 16.406,+40 48 55.91
19 11 14.330,+40 50 48.88
19 16 48.527,+40 52 03.31
19 28 14.909,+40 50 16.66
19 31 21.731,+40 52 05.80
19 31 37.027,+40 48 13.25
19 39 16.517,+40 48 12.53
19 42 11.110,+40 53 58.70
19 45 07.157,+40 50 35.56
19 45 39.756,+40 53 37.86
19 51 36.122,+40 51 06.12
19 52 41.503,+40 48 19.08
19 57 59.630,+40 52 13.91
18 57 05.095,+40 56 18.20
19 02 40.073,+40 56 40.24
19 05 20.743,+40 56 33.83
19 11 09.417,+40 55 37.81
19 11 09.819,+40 54 14.33
19 15 47.811,+40 55 43.82
19 16 00.098,+40 57 50.18
19 16 25.306,+40 59 03.44
19 17 42.929,+40 56 42.79
19 18 38.019,+40 59 17.81
19 18 42.554,+40 58 19.70
19 23 17.220,+40 59 54.53
19 28 53.035,+40 56 08.88
19 32 48.782,+40 56 33.65
19 39 08.654,+40 58 43.79
19 41 14.582,+40 57 52.78
19 41 42.535,+40 58 56.60
19 46 54.804,+40 54 12.24
19 50 20.040,+40 59 00.20
19 53 33.759,+40 59 23.14
19 54 04.673,+40 55 13.76
19 54 07.474,+40 55 56.21
18 50 26.568,+41 05 49.63
19 04 38.611,+41 01 41.23
19 04 43.423,+41 05 07.22
19 14 47.383,+41 03 33.23
19 16 33.852,+41 04 42.71
19 17 48.657,+41 03 50.62
19 18 36.084,+41 05 09.38
19 20 30.394,+41 02 15.50
19 22 46.142,+41 00 08.75
19 23 52.440,+41 04 21.76
19 31 49.869,+41 01 04.94
19 53 37.728,+41 01 53.11
19 53 57.883,+41 02 48.37
19 54 53.906,+41 01 47.39
19 55 37.383,+41 02 33.40
19 57 30.434,+41 04 29.35
19 57 44.724,+41 00 11.45
18 51 28.515,+41 09 51.61
18 51 41.482,+41 08 53.88
18 53 49.992,+41 06 41.69
19 00 01.819,+41 08 48.95
19 01 07.603,+41 11 47.90
19 03 48.521,+41 08 39.80
19 13 46.289,+41 10 19.85
19 27 14.393,+41 11 21.98
19 29 07.992,+41 07 54.70
19 29 42.960,+41 06 11.12
19 31 25.277,+41 06 34.13
19 32 45.290,+41 06 45.94
19 33 23.225,+41 10 44.22
19 41 05.522,+41 10 05.81
19 41 22.114,+41 11 52.48
19 49 42.038,+41 08 55.79
19 54 23.018,+41 11 56.27
19 56 07.977,+41 08 04.78
19 56 33.869,+41 11 06.00
18 52 20.441,+41 13 24.20
18 54 45.703,+41 14 57.23
18 55 08.635,+41 16 50.63
18 58 53.285,+41 15 26.82
18 59 25.296,+41 15 07.09
18 59 52.447,+41 14 35.12
18 59 59.563,+41 14 51.04
19 02 42.763,+41 17 51.94
19 02 44.251,+41 13 10.99
19 03 35.755,+41 15 48.06
19 08 02.004,+41 17 20.76
19 15 17.177,+41 13 48.61
19 20 32.885,+41 14 58.85
19 22 31.843,+41 13 27.70
19 28 43.968,+41 12 45.61
19 29 44.714,+41 17 12.16
19 31 06.182,+41 13 13.94
19 31 32.470,+41 16 45.26
19 34 42.074,+41 17 43.30
19 47 18.451,+41 14 33.10
19 49 09.350,+41 13 51.10
19 56 35.100,+41 16 57.90
19 57 24.967,+41 12 43.49
18 53 53.479,+41 20 06.32
18 57 18.249,+41 23 46.90
18 59 45.636,+41 22 00.91
19 02 39.134,+41 22 55.24
19 16 18.417,+41 20 21.30
19 17 46.685,+41 19 03.94
19 18 09.149,+41 23 15.50
19 19 55.222,+41 23 46.36
19 22 50.664,+41 23 48.41
19 26 11.551,+41 19 17.36
19 26 39.739,+41 19 39.86
19 26 45.761,+41 19 58.37
19 28 39.706,+41 19 45.62
19 32 30.432,+41 20 50.17
19 36 01.299,+41 23 01.72
19 36 33.689,+41 20 22.34
19 44 29.760,+41 23 08.95
19 45 05.988,+41 22 26.04
19 45 23.858,+41 21 14.54
19 47 04.466,+41 19 10.34
19 47 29.414,+41 21 40.75
19 48 25.783,+41 23 14.39
19 48 44.302,+41 23 30.98
19 50 09.351,+41 22 42.96
19 50 11.102,+41 18 09.50
19 52 36.480,+41 22 27.05
19 53 03.300,+41 19 50.70
19 53 06.886,+41 20 51.04
19 54 04.176,+41 21 54.94
19 54 25.466,+41 20 09.53
19 55 39.461,+41 20 48.30
19 56 22.435,+41 18 06.30
19 57 09.367,+41 20 18.74
19 57 31.183,+41 18 12.56
19 57 50.018,+41 19 26.11
18 48 56.455,+41 26 08.63
18 58 05.189,+41 26 06.54
18 58 43.973,+41 26 07.76
18 58 48.454,+41 24 27.61
19 00 39.636,+41 26 14.86
19 03 23.403,+41 24 26.50
19 09 33.398,+41 28 48.65
19 16 58.814,+41 27 13.18
19 18 02.530,+41 29 42.50
19 21 21.794,+41 24 18.76
19 22 28.961,+41 29 44.16
19 28 24.384,+41 27 43.88
19 28 48.986,+41 28 43.61
19 29 07.090,+41 26 24.43
19 33 10.977,+41 24 33.37
19 33 12.838,+41 24 25.67
19 36 01.939,+41 27 10.04
19 36 51.987,+41 25 22.80
19 37 14.919,+41 24 53.39
19 37 31.591,+41 29 55.57
19 44 08.722,+41 24 20.30
19 45 45.177,+41 25 45.05
19 48 44.338,+41 25 22.15
19 51 11.642,+41 27 25.13
19 52 41.004,+41 25 59.30
19 53 27.718,+41 29 24.30
18 49 47.640,+41 35 01.57
18 51 58.639,+41 34 41.41
18 56 50.834,+41 30 12.56
19 00 59.943,+41 31 45.48
19 01 32.219,+41 35 11.67
19 02 06.962,+41 34 00.62
19 16 39.785,+41 31 07.10
19 20 38.664,+41 33 25.74
19 25 13.526,+41 35 08.02
19 26 56.306,+41 30 03.10
19 27 10.937,+41 34 54.26
19 31 34.755,+41 31 10.56
19 33 41.918,+41 34 21.86
19 35 23.568,+41 34 54.82
19 50 00.355,+41 32 52.26
19 50 32.460,+41 35 46.28
19 50 35.693,+41 32 15.86
19 52 09.041,+41 32 02.15
19 53 46.793,+41 30 04.61
18 50 07.548,+41 39 09.47
18 57 25.881,+41 40 08.87
18 58 56.021,+41 37 28.52
19 00 10.795,+41 36 50.69
19 08 25.224,+41 40 11.46
19 19 27.372,+41 37 07.10
19 20 52.797,+41 38 25.98
19 24 58.342,+41 38 06.61
19 25 12.327,+41 41 58.16
19 29 45.619,+41 39 23.84
19 30 45.509,+41 36 54.47
19 35 48.312,+41 38 52.51
19 36 28.325,+41 40 52.25
19 37 12.077,+41 36 25.99
19 45 51.715,+41 37 55.52
19 49 10.881,+41 39 28.22
19 49 37.399,+41 36 40.57
19 50 31.049,+41 38 14.86
19 51 32.400,+41 39 53.24
19 52 11.261,+41 39 59.72
19 52 44.954,+41 37 05.38
19 53 27.667,+41 41 23.89
19 56 57.991,+41 39 39.74
18 51 05.664,+41 46 40.76
18 52 49.142,+41 43 01.56
18 55 37.589,+41 45 43.85
18 56 45.613,+41 45 54.87
18 59 20.386,+41 46 51.46
19 00 46.966,+41 47 35.66
19 06 51.991,+41 44 40.16
19 08 47.157,+41 43 12.79
19 17 34.735,+41 46 56.46
19 25 27.900,+41 45 11.45
19 25 43.990,+41 42 12.38
19 28 38.554,+41 44 35.63
19 32 12.742,+41 47 06.22
19 32 25.709,+41 45 44.50
19 32 31.589,+41 42 35.39
