RA (J2000),Dec (J2000)
19 48 29.438,+40 30 11.09
19 57 35.885,+40 33 11.38
19 58 25.397,+40 30 14.11
19 59 26.318,+40 33 50.22
19 00 12.593,+40 36 42.05
19 03 49.008,+40 39 35.93
19 11 54.684,+40 38 20.90
19 13 23.470,+40 39 40.93
19 22 32.174,+40 36 57.92
19 24 18.096,+40 38 58.78
19 39 44.702,+40 37 01.09
19 46 41.318,+40 37 30.04
19 54 55.099,+40 36 20.63
19 56 36.593,+40 39 45.54
19 59 26.114,+40 37 35.58
19 59 42.547,+40 37 14.56
19 01 27.699,+40 47 34.48
19 17 42.461,+40 44 44.92
19 22 28.937,+40 43 13.30
19 29 24.019,+40 43 45.98
19 40 21.120,+40 46 28.92
19 47 50.311,+40 46 55.78
19 50 46.982,+40 45 59.33
18 59 33.247,+40 49 55.13
19 12 02.913,+40 49 25.21
19 15 54.439,+40 51 13.39
19 24 07.253,+40 50 10.07
19 24 17.729,+40 49 01.78
19 37 54.876,+40 49 54.05
19 39 19.248,+40 53 58.88
19 41 36.002,+40 52 08.69
19 41 53.088,+40 52 09.44
19 46 34.190,+40 48 53.35
19 47 36.252,+40 52 35.69
19 50 44.074,+40 49 21.65
19 56 31.766,+40 49 34.07
19 56 36.312,+40 52 41.30
19 58 55.357,+40 49 34.78
19 11 01.882,+40 54 25.60
19 14 47.583,+40 56 26.56
19 15 03.038,+40 57 38.84
19 17 59.779,+40 54 41.15
19 22 56.510,+40 56 59.82
19 23 09.063,+40 59 36.17
19 28 52.925,+40 58 28.60
19 32 25.555,+40 56 49.85
19 47 24.612,+40 59 26.27
19 49 13.769,+40 54 29.16
19 58 46.495,+40 59 09.71
18 56 06.698,+41 04 50.30
19 05 14.215,+41 02 15.58
19 23 37.243,+41 00 16.99
19 27 48.953,+41 03 33.70
19 29 27.938,+41 04 56.35
19 30 44.201,+41 01 12.36
19 31 47.184,+41 02 11.69
19 32 00.027,+41 02 25.40
19 45 37.344,+41 00 30.42
19 58 59.926,+41 00 32.40
19 15 03.427,+41 06 59.22
