_r,_RAJ2000,_DEJ2000,KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
arcsec,h:m:s,d:m:s, ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
----,-----------,-----------,--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 28 35.16,+38 01 45.7,2855771,5171,162,1,PHO,3.519,0.4,0,KIC,-0.345,0.3,0,KIC,1,5168,3.508,-0.34,3.148,1.164,DSEP,5.25E-02,  ,292.14648,38.02936
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 29 22.39,+38 02 59.4,2856756,10556,369,0,KIC,3.504,0.4,0,KIC,-0.089,0.3,0,KIC,1,10546,3.573,0.07,5.04,3.467,DSEP,3.81E-02,  ,292.34329,38.04982
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 30 28.92,+38 05 03.2,2858074,5378,183,1,PHO,3.534,0.4,0,KIC,0.335,0.3,0,KIC,1,5374,3.518,0.34,3.876,1.804,DSEP,4.37E-02,  ,292.62051,38.08423
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 32 14.75,+38 05 43.9,2860090,5479,177,1,PHO,3.586,0.4,0,KIC,-0.037,0.3,0,KIC,1,5473,3.574,-0.04,3.395,1.577,DSEP,5.67E-02,  ,293.06146,38.09554
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 32 52.92,+38 02 11.9,2860851,10758,376,0,KIC,3.585,0.4,0,KIC,-0.073,0.3,0,KIC,1,10752,3.594,0.07,4.924,3.469,DSEP,4.09E-02,  ,293.22049,38.03665
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 36 31.43,+38 05 05.0,2865242,5196,149,1,PHO,3.592,0.4,0,KIC,-0.04,0.3,0,KIC,1,5192,3.608,-0.04,3.084,1.405,DSEP,6.75E-02,  ,294.13095,38.08473
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 06 04.87,+38 11 30.9,2972005,7156,232,1,PHO,3.51,0.4,0,KIC,0.016,0.3,0,KIC,1,7174,3.513,0.04,4.2,2.094,DSEP,3.98E-02,  ,286.52029,38.19193
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 08 31.72,+38 06 26.9,2973845,5433,179,1,PHO,3.592,0.4,0,KIC,-1.074,0.3,0,KIC,1,5431,3.582,-1.08,2.43,0.822,DSEP,8.07E-02,  ,287.13217,38.10746
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,19 10 09.26,+38 09 22.3,2975145,5476,161,1,PHO,3.536,0.4,0,KIC,-0.391,0.3,0,KIC,1,5472,3.538,-0.38,3.372,1.43,DSEP,5.25E-02,  ,287.5386,38.1562
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 22 44.08,+38 06 58.2,2986397,5092,151,1,PHO,3.57,0.4,0,KIC,0.043,0.3,0,KIC,1,5094,3.583,0.04,3.161,1.394,DSEP,6.22E-02,  ,290.68365,38.11616
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 23 57.45,+38 06 51.7,2987660,7529,263,0,KIC,3.587,0.4,0,KIC,-0.007,0.3,0,KIC,1,7524,3.608,0.02,3.755,2.086,DSEP,5.55E-02,  ,290.98938,38.11436
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 28 37.38,+38 08 16.9,2992960,5757,178,1,PHO,3.596,0.4,0,KIC,0.336,0.3,0,KIC,1,5745,3.594,0.32,3.406,1.662,DSEP,5.93E-02,  ,292.15576,38.13802
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 32 03.39,+38 10 41.0,2996903,4992,144,1,PHO,3.596,0.4,0,KIC,-0.264,0.3,0,KIC,1,4995,3.587,-0.26,2.54,0.911,DSEP,7.83E-02,  ,293.01413,38.17806
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 36 37.04,+38 11 27.3,3002336,7647,267,0,KIC,3.515,0.4,0,KIC,-0.336,0.3,0,KIC,1,7643,3.561,-0.34,3.838,1.958,DSEP,4.88E-02,  ,294.15433,38.19091
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 03 36.72,+38 12 08.2,3097912,8106,283,0,KIC,3.564,0.4,0,KIC,0.052,0.3,0,KIC,1,8107,3.559,0.07,4.414,2.576,DSEP,4.22E-02,  ,285.90298,38.20227
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 04 06.97,+38 14 39.8,3098263,6640,184,1,PHO,3.575,0.4,0,KIC,-0.29,0.3,0,KIC,1,6643,3.579,-0.28,3.435,1.633,DSEP,5.68E-02,  ,286.02905,38.24439
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 05 36.44,+38 13 06.3,3099303,5359,162,1,PHO,3.545,0.4,0,KIC,-0.25,0.3,0,KIC,1,5356,3.571,-0.28,3.219,1.409,DSEP,5.95E-02,  ,286.40182,38.21842
,,,,,,,,,,,,,,,,,,,,,,,,,,
