Filename:         max_freq,   max_val,    Variable_Star,  Potential_EB,   Visual_Followup
Processed_kplr002835289-2013131215648_llc.fits.txt  566251.904565  2.330000  1  0  1

Processed_kplr002854432-2009166043257_llc.fits.txt  1015243.251158  6.205000  1  0  0

Processed_kplr002854432-2009259160929_llc.fits.txt  2467878.913287  6.205000  1  0  0

Processed_kplr002854432-2009350155506_llc.fits.txt  2712566.401619  6.205000  1  0  0

Processed_kplr002854432-2010078095331_llc.fits.txt  2688672.047294  6.205000  1  0  0

Processed_kplr002854432-2010174085026_llc.fits.txt  2964842.989134  6.205000  1  0  0

Processed_kplr002854432-2010265121752_llc.fits.txt  2605197.476918  6.205000  1  0  0

Processed_kplr002854432-2010355172524_llc.fits.txt  2782592.224286  6.205000  1  0  0

Processed_kplr002854432-2011073133259_llc.fits.txt  2035780.157847  6.205000  1  0  0

Processed_kplr002854432-2011177032512_llc.fits.txt  3013555.649685  6.205000  1  0  0

Processed_kplr002854432-2011271113734_llc.fits.txt  2639963.626895  6.205000  1  0  0

Processed_kplr002854432-2012004120508_llc.fits.txt  2828566.754902  6.205000  1  0  0

Processed_kplr002854432-2012088054726_llc.fits.txt  2209297.865557  6.205000  1  0  0

Processed_kplr002854432-2012179063303_llc.fits.txt  2568986.609294  6.205000  1  0  0

Processed_kplr002854432-2012277125453_llc.fits.txt  2376645.756044  6.205000  1  0  0

Processed_kplr002854432-2013011073258_llc.fits.txt  2648092.606557  6.205000  1  0  0

Processed_kplr002854432-2013098041711_llc.fits.txt  2151586.940622  6.205000  1  0  0

Processed_kplr002854432-2013131215648_llc.fits.txt  796431.480174  6.205000  1  0  0

Processed_kplr003113266-2009166043257_llc.fits.txt  3385.497161  2.010000  1  0  1

Processed_kplr003113266-2009259160929_llc.fits.txt  13680.289815  2.010000  1  0  1

Processed_kplr003113266-2009350155506_llc.fits.txt  13835.075915  2.010000  1  0  1

Processed_kplr003113266-2010078095331_llc.fits.txt  14851.164673  2.010000  1  0  1

Processed_kplr003113266-2010174085026_llc.fits.txt  11236.899485  2.010000  1  0  0

Processed_kplr003113266-2010265121752_llc.fits.txt  11580.816484  2.010000  1  0  1

Processed_kplr003113266-2010355172524_llc.fits.txt  13199.877951  2.010000  1  0  1

Processed_kplr003113266-2011073133259_llc.fits.txt  10715.067143  2.010000  1  0  1

Processed_kplr003113266-2011177032512_llc.fits.txt  9403.310744  2.010000  1  0  1

Processed_kplr003113266-2011271113734_llc.fits.txt  9238.797377  2.010000  1  0  1

Processed_kplr003113266-2012004120508_llc.fits.txt  11246.915802  4.015000  1  0  1

Processed_kplr003113266-2012088054726_llc.fits.txt  9476.094268  6.025000  1  0  0

Processed_kplr003113266-2012179063303_llc.fits.txt  7989.063789  4.015000  1  0  1

Processed_kplr003113266-2012277125453_llc.fits.txt  8554.555059  4.015000  1  0  1

Processed_kplr003113266-2013011073258_llc.fits.txt  11546.806168  4.015000  1  0  1

Processed_kplr003113266-2013098041711_llc.fits.txt  9993.091972  2.010000  1  0  1

Processed_kplr003113266-2013131215648_llc.fits.txt  2840.680980  2.005000  1  0  1

Processed_kplr003327980-2009166043257_llc.fits.txt  9244933.719052  0.475000  1  1  0

Processed_kplr003327980-2009259160929_llc.fits.txt  20727169.509493  0.475000  1  1  0

Processed_kplr003327980-2009350155506_llc.fits.txt  22752934.395350  0.475000  1  1  0

Processed_kplr003327980-2010078095331_llc.fits.txt  23104792.551712  0.475000  1  1  0

Processed_kplr003327980-2010174085026_llc.fits.txt  23330075.557134  0.475000  1  1  0

Processed_kplr003327980-2010265121752_llc.fits.txt  22221857.456579  0.945000  1  1  1

Processed_kplr003327980-2010355172524_llc.fits.txt  23462639.386767  0.475000  1  1  0

Processed_kplr003327980-2011073133259_llc.fits.txt  18153828.648522  0.475000  1  1  0

Processed_kplr003327980-2011177032512_llc.fits.txt  23293987.484686  0.475000  1  1  0

Processed_kplr003327980-2011271113734_llc.fits.txt  22335582.809237  0.475000  1  1  0

Processed_kplr003327980-2012004120508_llc.fits.txt  25061242.079155  0.945000  1  1  1

Processed_kplr003327980-2012088054726_llc.fits.txt  20106129.043518  0.475000  1  1  0

Processed_kplr003327980-2012179063303_llc.fits.txt  22511282.020826  0.945000  1  1  1

Processed_kplr003327980-2012277125453_llc.fits.txt  21298760.004479  0.945000  1  1  1

Processed_kplr003327980-2013011073258_llc.fits.txt  24306041.499787  0.945000  1  1  1

Processed_kplr003327980-2013098041711_llc.fits.txt  19724461.263934  0.475000  1  1  0

Processed_kplr003327980-2013131215648_llc.fits.txt  7167889.310167  0.475000  1  1  0

Processed_kplr003339563-2009166043257_llc.fits.txt  2127123.243664  2.380000  1  0  1

Processed_kplr003339563-2009259160929_llc.fits.txt  4627947.605426  2.375000  1  0  1

Processed_kplr003339563-2009350155506_llc.fits.txt  4490911.068552  2.380000  1  0  1

Processed_kplr003339563-2010078095331_llc.fits.txt  4928385.493196  2.380000  1  0  1

Processed_kplr003339563-2010174085026_llc.fits.txt  4934352.214087  2.380000  1  0  1

Processed_kplr003339563-2010265121752_llc.fits.txt  4776386.414755  2.375000  1  0  1

Processed_kplr003339563-2010355172524_llc.fits.txt  4631114.524238  2.375000  1  0  1

Processed_kplr003339563-2011073133259_llc.fits.txt  3783537.073095  2.375000  1  0  1

Processed_kplr003339563-2011177032512_llc.fits.txt  5672815.838989  2.375000  1  0  1

Processed_kplr003339563-2011271113734_llc.fits.txt  4602951.902800  2.380000  1  0  1

Processed_kplr003339563-2012004120508_llc.fits.txt  4737230.648495  2.375000  1  0  1

Processed_kplr003339563-2012088054726_llc.fits.txt  4241283.238205  2.375000  1  0  1

Processed_kplr003339563-2012179063303_llc.fits.txt  4701448.218775  2.375000  1  0  1

Processed_kplr003339563-2012277125453_llc.fits.txt  4456663.924312  2.380000  1  0  1

Processed_kplr003339563-2013011073258_llc.fits.txt  4539019.812848  2.380000  1  0  1

Processed_kplr003339563-2013098041711_llc.fits.txt  3967144.111395  2.380000  1  0  1

Processed_kplr003339563-2013131215648_llc.fits.txt  1511806.118628  2.375000  1  0  1

Processed_kplr003347485-2009166043257_llc.fits.txt  1964102.221639  0.265000  1  0  1

Processed_kplr003347485-2009259160929_llc.fits.txt  4820004.919292  0.265000  1  0  1

Processed_kplr003347485-2009350155506_llc.fits.txt  5269850.135341  0.265000  1  0  1

Processed_kplr003347485-2010078095331_llc.fits.txt  5405564.950298  0.265000  1  0  1

Processed_kplr003347485-2010174085026_llc.fits.txt  5941054.639923  0.265000  1  0  1

Processed_kplr003347485-2010265121752_llc.fits.txt  5363635.923049  0.265000  1  0  1

Processed_kplr003347485-2010355172524_llc.fits.txt  5925961.870061  0.265000  1  0  1

Processed_kplr003347485-2011073133259_llc.fits.txt  3791332.048367  0.265000  1  0  1

Processed_kplr003347485-2011177032512_llc.fits.txt  5789791.140001  0.265000  1  0  1

Processed_kplr003347485-2011271113734_llc.fits.txt  6009373.584668  0.265000  1  0  1

Processed_kplr003347485-2012004120508_llc.fits.txt  6346888.823009  0.265000  1  0  1

Processed_kplr003347485-2012088054726_llc.fits.txt  5328549.802250  0.265000  1  0  1

Processed_kplr003347485-2012179063303_llc.fits.txt  6170647.956643  0.265000  1  0  1

Processed_kplr003347485-2012277125453_llc.fits.txt  5926130.839897  0.265000  1  0  1

Processed_kplr003347485-2013011073258_llc.fits.txt  5953316.856212  0.265000  1  0  1

Processed_kplr003347485-2013098041711_llc.fits.txt  4719328.989245  0.265000  1  0  1

Processed_kplr003347485-2013131215648_llc.fits.txt  1753436.126787  0.265000  1  0  1

Processed_kplr003542573-2009166043257_llc.fits.txt  1058836.857260  0.290000  1  0  1

Processed_kplr003542573-2009259160929_llc.fits.txt  2381917.393003  0.290000  1  0  1

Processed_kplr003542573-2009350155506_llc.fits.txt  2626977.852161  0.865000  1  1  0

Processed_kplr003542573-2010078095331_llc.fits.txt  2395390.166994  0.575000  1  1  1

Processed_kplr003542573-2010174085026_llc.fits.txt  2806751.182009  0.575000  1  1  1

Processed_kplr003542573-2010265121752_llc.fits.txt  2521929.773515  0.865000  1  1  0

Processed_kplr003542573-2010355172524_llc.fits.txt  2858264.290656  0.285000  1  0  1

Processed_kplr003542573-2011073133259_llc.fits.txt  1960426.736657  0.285000  1  0  1

Processed_kplr003542573-2011177032512_llc.fits.txt  2644232.347402  0.575000  1  1  1

Processed_kplr003542573-2011271113734_llc.fits.txt  2655754.400947  0.575000  1  1  1

Processed_kplr003542573-2012004120508_llc.fits.txt  2516690.566232  0.290000  1  0  1

Processed_kplr003542573-2012088054726_llc.fits.txt  1981325.782097  0.575000  1  1  1

Processed_kplr003542573-2012179063303_llc.fits.txt  2731912.496326  0.290000  1  0  1

Processed_kplr003542573-2012277125453_llc.fits.txt  2528713.491716  0.290000  1  0  1

Processed_kplr003542573-2013011073258_llc.fits.txt  3269575.852436  0.140000  1  0  0

Processed_kplr003542573-2013098041711_llc.fits.txt  2039046.478771  0.575000  1  1  1

Processed_kplr003542573-2013131215648_llc.fits.txt  1169172.263000  0.140000  1  0  1

Processed_kplr003545476-2009166043257_llc.fits.txt  59273.758040  6.295000  1  0  1

Processed_kplr003545476-2009259160929_llc.fits.txt  140112.679985  6.295000  1  0  1

Processed_kplr003545476-2009350155506_llc.fits.txt  151966.658633  6.295000  1  0  1

Processed_kplr003545476-2010078095331_llc.fits.txt  152633.430666  6.295000  1  0  1

Processed_kplr003545476-2010174085026_llc.fits.txt  168751.102452  6.295000  1  0  1

Processed_kplr003545476-2010265121752_llc.fits.txt  153378.100099  6.295000  1  0  0

Processed_kplr003545476-2010355172524_llc.fits.txt  151645.324442  6.295000  1  0  1

Processed_kplr003545476-2011073133259_llc.fits.txt  112602.526199  6.295000  1  0  1

Processed_kplr003545476-2011177032512_llc.fits.txt  166745.545330  6.295000  1  0  1

Processed_kplr003545476-2011271113734_llc.fits.txt  158275.000075  6.295000  1  0  1

Processed_kplr003545476-2012004120508_llc.fits.txt  159592.783056  6.295000  1  0  1

Processed_kplr003545476-2012088054726_llc.fits.txt  134899.401208  6.295000  1  0  1

Processed_kplr003545476-2012179063303_llc.fits.txt  158096.834931  6.295000  1  0  1

Processed_kplr003545476-2012277125453_llc.fits.txt  151291.634446  6.295000  1  0  1

Processed_kplr003545476-2013011073258_llc.fits.txt  157126.273487  6.295000  1  0  1

Processed_kplr003545476-2013098041711_llc.fits.txt  133655.260447  6.295000  1  0  1

Processed_kplr003545476-2013131215648_llc.fits.txt  44859.064981  6.295000  1  0  0

Processed_kplr003745184-2009166043257_llc.fits.txt  1458682.165520  6.575000  1  0  1

Processed_kplr003745184-2009259160929_llc.fits.txt  3486115.860010  6.575000  1  0  1

Processed_kplr003745184-2009350155506_llc.fits.txt  3600352.869352  6.575000  1  0  1

Processed_kplr003745184-2010078095331_llc.fits.txt  3455242.030221  6.575000  1  0  1

