KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
 ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
3560268,5135,150,1,PHO,3.587,0.4,0,KIC,0.038,0.3,0,KIC,1,5138,3.568,0.04,3.297,1.467,DSEP,5.76E-02,  ,295.26016,38.63399
,,,,,,,,,,,,,,,,,,,,,,,
3561533,5113,166,1,PHO,3.525,0.4,0,KIC,-0.911,0.3,0,KIC,1,5195,3.409,-0.8,2.935,0.805,DSEP,4.48E-02,  ,295.51175,38.65915
,,,,,,,,,,,,,,,,,,,,,,,
3634487,8844,309,0,KIC,3.557,0.4,0,KIC,-0.065,0.3,0,KIC,1,8851,3.552,0.07,4.64,2.802,DSEP,3.95E-02,  ,288.11887,38.74769
,,,,,,,,,,,,,,,,,,,,,,,
3645414,5186,164,1,PHO,3.525,0.4,0,KIC,0.073,0.3,0,KIC,1,5191,3.53,0.08,3.611,1.61,DSEP,4.82E-02,  ,291.39413,38.72252
,,,,,,,,,,,,,,,,,,,,,,,
3653805,5204,162,1,PHO,3.598,0.4,0,KIC,0.097,0.3,0,KIC,1,5196,3.596,0.08,3.246,1.516,DSEP,6.24E-02,  ,293.55261,38.79429
,,,,,,,,,,,,,,,,,,,,,,,
3655146,5284,171,1,PHO,3.569,0.4,0,KIC,-0.528,0.3,0,KIC,1,5282,3.569,-0.52,2.814,1.07,DSEP,6.77E-02,  ,293.88184,38.74083
,,,,,,,,,,,,,,,,,,,,,,,
3662064,5083,161,1,PHO,3.523,0.4,0,KIC,-1.071,0.3,0,KIC,1,5208,3.325,-0.88,3.221,0.799,DSEP,3.37E-02,  ,295.45685,38.76143
,,,,,,,,,,,,,,,,,,,,,,,
3662494,5008,151,1,PHO,3.597,0.4,0,KIC,-0.829,0.3,0,KIC,1,5114,3.438,-0.62,2.868,0.821,DSEP,4.90E-02,  ,295.54138,38.77526
,,,,,,,,,,,,,,,,,,,,,,,
3727373,5691,199,54,PHO,3.585,0.4,54,PHO,-0.76,0.3,54,PHO,0,5696,3.586,-0.74,2.881,1.165,DSEP,6.86E-02,  ,284.7084,38.88604
,,,,,,,,,,,,,,,,,,,,,,,
3736251,5071,154,1,PHO,3.507,0.4,0,KIC,-0.86,0.3,0,KIC,1,5148,3.375,-0.72,3.065,0.812,DSEP,3.97E-02,  ,288.20212,38.8702
,,,,,,,,,,,,,,,,,,,,,,,
3744268,5248,162,1,PHO,3.563,0.4,0,KIC,-0.112,0.3,0,KIC,1,5248,3.57,-0.1,3.289,1.466,DSEP,5.80E-02,  ,290.68271,38.85033
,,,,,,,,,,,,,,,,,,,,,,,
3747025,5409,183,1,PHO,3.509,0.4,0,KIC,0.363,0.3,0,KIC,1,5410,3.514,0.36,3.894,1.804,DSEP,4.30E-02,  ,291.47931,38.83704
,,,,,,,,,,,,,,,,,,,,,,,
3747623,5379,178,1,PHO,3.523,0.4,0,KIC,-0.786,0.3,0,KIC,1,5383,3.53,-0.78,2.866,1.014,DSEP,6.07E-02,  ,291.6283,38.86354
